date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:14:17	89855/89855	---M--	200	added ('OK')	image/jpeg	etag:%22bba8411aba225282d100abf9c28a49e2%22	https://cdn.prod.website-files.com/69983296cbb59f410af8512f/69983296cbb59f410af85213_e3a94c0a15037be54f2e837033141968_contact-hero-img.jpg	/data/data/com.termux/files/home/storage/downloads/miyagami-clone/cdn.prod.website-files.com/69983296cbb59f410af8512f/69983296cbb59f410af85213_e3a94c0a15037be54f2e837033141968_contact-hero-img.jpg	(from https://www.miyagami.com/)
10:14:17	516630/516630	---M--	200	added ('OK')	image/jpeg	etag:%22ee5c36c853334a66aa288691875c3a24%22	https://cdn.prod.website-files.com/68f740f2d74dabf7ba29daa1/697e0f20317c519ded903e76_service-placeholder.jpg	/data/data/com.termux/files/home/storage/downloads/miyagami-clone/cdn.prod.website-files.com/68f740f2d74dabf7ba29daa1/697e0f20317c519ded903e76_service-placeholder.jpg	(from https://www.miyagami.com/)
10:14:18	29392/29392	---M--	200	added ('OK')	image/jpg	etag:%22571a4e65d6ebbdc39765e25eff4a163a%22	https://cdn.prod.website-files.com/69983296cbb59f410af8512f/69983296cbb59f410af85213_e3a94c0a15037be54f2e837033141968_contact-hero-img-p-800.jpg	/data/data/com.termux/files/home/storage/downloads/miyagami-clone/cdn.prod.website-files.com/69983296cbb59f410af8512f/69983296cbb59f410af85213_e3a94c0a15037be54f2e837033141968_contact-hero-img-p-800.jpg	(from https://www.miyagami.com/)
10:14:18	14292/14292	---M--	200	added ('OK')	image/jpg	etag:%2264c006f0764e15cf514bd2061da17eab%22	https://cdn.prod.website-files.com/69983296cbb59f410af8512f/69983296cbb59f410af85213_e3a94c0a15037be54f2e837033141968_contact-hero-img-p-500.jpg	/data/data/com.termux/files/home/storage/downloads/miyagami-clone/cdn.prod.website-files.com/69983296cbb59f410af8512f/69983296cbb59f410af85213_e3a94c0a15037be54f2e837033141968_contact-hero-img-p-500.jpg	(from https://www.miyagami.com/)
10:14:18	46309/46309	---M--	200	added ('OK')	image/jpg	etag:%22ea78896a48103d612b04516cdc1c5751%22	https://cdn.prod.website-files.com/69983296cbb59f410af8512f/69983296cbb59f410af85213_e3a94c0a15037be54f2e837033141968_contact-hero-img-p-1080.jpg	/data/data/com.termux/files/home/storage/downloads/miyagami-clone/cdn.prod.website-files.com/69983296cbb59f410af8512f/69983296cbb59f410af85213_e3a94c0a15037be54f2e837033141968_contact-hero-img-p-1080.jpg	(from https://www.miyagami.com/)
10:14:18	110368/110368	---MCZ	200	added ('OK')	text/html	date:Mon,%2017%20Aug%202026%2008:54:37%20GMT	https://www.miyagami.com/industries/sustainability	/data/data/com.termux/files/home/storage/downloads/miyagami-clone/www.miyagami.com/industries/sustainability.html	(from https://www.miyagami.com/)
10:14:19	105649/105649	---MCZ	200	added ('OK')	text/html	date:Mon,%2017%20Aug%202026%2008:54:38%20GMT	https://www.miyagami.com/industries/real-estate	/data/data/com.termux/files/home/storage/downloads/miyagami-clone/www.miyagami.com/industries/real-estate.html	(from https://www.miyagami.com/)
10:14:19	199528/199528	---M--	200	added ('OK')	image/jpeg	etag:%224be8c885584115574a79c6f1d5e08f2a%22	https://cdn.prod.website-files.com/69983296cbb59f410af8512a/69a191e042935043670450d9_wind-turbines-mountain-ridge-sustainability.jpg	/data/data/com.termux/files/home/storage/downloads/miyagami-clone/cdn.prod.website-files.com/69983296cbb59f410af8512a/69a191e042935043670450d9_wind-turbines-mountain-ridge-sustainability.jpg	(from https://www.miyagami.com/)
10:14:19	82245/82245	---M--	200	added ('OK')	image/jpg	etag:%22136356621581bb1cd6883370922d2190%22	https://cdn.prod.website-files.com/69983296cbb59f410af8512f/69983296cbb59f410af85213_e3a94c0a15037be54f2e837033141968_contact-hero-img-p-1600.jpg	/data/data/com.termux/files/home/storage/downloads/miyagami-clone/cdn.prod.website-files.com/69983296cbb59f410af8512f/69983296cbb59f410af85213_e3a94c0a15037be54f2e837033141968_contact-hero-img-p-1600.jpg	(from https://www.miyagami.com/)
10:14:20	7703/7703	---M--	200	added ('OK')	image/avif	etag:%22ea67778b167519366b9d183f73169139%22	https://cdn.prod.website-files.com/69983296cbb59f410af8512a/69a17dd5c35a2bab864143d0_modern-office-hallway-professional-discussion-square-image.avif	/data/data/com.termux/files/home/storage/downloads/miyagami-clone/cdn.prod.website-files.com/69983296cbb59f410af8512a/69a17dd5c35a2bab864143d0_modern-office-hallway-professional-discussion-square-image.avif	(from https://www.miyagami.com/)
10:14:20	103416/103416	---MCZ	200	added ('OK')	text/html	date:Mon,%2017%20Aug%202026%2008:54:39%20GMT	https://www.miyagami.com/industries/finance	/data/data/com.termux/files/home/storage/downloads/miyagami-clone/www.miyagami.com/industries/finance.html	(from https://www.miyagami.com/)
10:14:20	11704/11704	---M--	200	added ('OK')	image/avif	etag:%22bab91faaab04dd637f6015e25c85332e%22	https://cdn.prod.website-files.com/69983296cbb59f410af8512a/69a17de739d594487258ca67_business-analytics-dashboard-laptop-office-square-image.avif	/data/data/com.termux/files/home/storage/downloads/miyagami-clone/cdn.prod.website-files.com/69983296cbb59f410af8512a/69a17de739d594487258ca67_business-analytics-dashboard-laptop-office-square-image.avif	(from https://www.miyagami.com/)
